date,estate_id,fertilizer_kg,working_days,disruption_days
2019-01-01,EST001,44558.0,25.0,0.0
2019-02-01,EST001,51306.0,23.0,1.0
2019-03-01,EST001,43954.0,23.0,0.0
2019-04-01,EST001,36406.0,23.0,3.0
2019-05-01,EST001,41455.0,25.0,0.0
2019-06-01,EST001,40334.0,22.0,0.0
2019-07-01,EST001,43317.0,26.0,2.0
2019-08-01,EST001,32804.0,24.0,0.0
2019-09-01,EST001,34159.0,22.0,1.0
2019-10-01,EST001,51248.0,24.0,1.0
2019-11-01,EST001,36671.0,26.0,1.0
2019-12-01,EST001,51928.0,25.0,0.0
2020-01-01,EST001,37710.0,23.0,1.0
2020-02-01,EST001,41093.0,23.0,0.0
2020-03-01,EST001,43244.0,25.0,0.0
2020-04-01,EST001,45355.0,22.0,0.0
2020-05-01,EST001,38885.0,22.0,2.0
2020-06-01,EST001,36584.0,24.0,1.0
2020-07-01,EST001,34841.0,25.0,3.0
2020-08-01,EST001,40150.0,22.0,3.0
2020-09-01,EST001,47624.0,25.0,2.0
2020-10-01,EST001,53569.0,26.0,3.0
2020-11-01,EST001,47932.0,23.0,1.0
2020-12-01,EST001,43905.0,23.0,0.0
2021-01-01,EST001,46424.0,23.0,1.0
2021-02-01,EST001,45894.0,25.0,1.0
2021-03-01,EST001,36573.0,25.0,1.0
2021-04-01,EST001,47057.0,24.0,1.0
2021-05-01,EST001,46183.0,23.0,0.0
2021-06-01,EST001,43422.0,24.0,0.0
2021-07-01,EST001,35946.0,23.0,0.0
2021-08-01,EST001,40022.0,24.0,1.0
2021-09-01,EST001,41344.0,24.0,1.0
2021-10-01,EST001,46447.0,26.0,3.0
2021-11-01,EST001,45220.0,24.0,0.0
2021-12-01,EST001,42561.0,25.0,1.0
2022-01-01,EST001,45934.0,24.0,0.0
2022-02-01,EST001,34215.0,23.0,0.0
2022-03-01,EST001,38102.0,24.0,1.0
2022-04-01,EST001,33586.0,22.0,1.0
2022-05-01,EST001,46384.0,23.0,1.0
2022-06-01,EST001,46012.0,22.0,0.0
2022-07-01,EST001,36974.0,23.0,1.0
2022-08-01,EST001,46153.0,25.0,2.0
2022-09-01,EST001,39372.0,25.0,1.0
2022-10-01,EST001,49655.0,25.0,1.0
2022-11-01,EST001,45128.0,22.0,1.0
2022-12-01,EST001,48105.0,26.0,4.0
2023-01-01,EST001,33368.0,23.0,1.0
2023-02-01,EST001,49684.0,25.0,0.0
2023-03-01,EST001,50232.0,23.0,0.0
2023-04-01,EST001,41807.0,22.0,1.0
2023-05-01,EST001,44974.0,26.0,1.0
2023-06-01,EST001,40395.0,22.0,1.0
2023-07-01,EST001,50818.0,23.0,1.0
2023-08-01,EST001,33852.0,26.0,3.0
2023-09-01,EST001,47844.0,26.0,1.0
2023-10-01,EST001,46513.0,22.0,1.0
2023-11-01,EST001,33641.0,25.0,0.0
2023-12-01,EST001,36364.0,23.0,0.0
2024-01-01,EST001,35952.0,24.0,3.0
2024-02-01,EST001,42539.0,24.0,0.0
2024-03-01,EST001,40200.0,22.0,2.0
2024-04-01,EST001,44924.0,23.0,1.0
2024-05-01,EST001,39816.0,23.0,2.0
2024-06-01,EST001,36505.0,22.0,1.0
2024-07-01,EST001,49076.0,23.0,0.0
2024-08-01,EST001,36855.0,25.0,0.0
2024-09-01,EST001,48783.0,22.0,5.0
2024-10-01,EST001,48383.0,25.0,1.0
2024-11-01,EST001,41881.0,23.0,1.0
2024-12-01,EST001,45218.0,22.0,0.0
2025-01-01,EST001,50576.0,23.0,2.0
2025-02-01,EST001,37035.0,22.0,0.0
2025-03-01,EST001,37329.0,23.0,0.0
2025-04-01,EST001,37436.0,25.0,0.0
2025-05-01,EST001,48849.0,25.0,0.0
2025-06-01,EST001,32826.0,23.0,2.0
2025-07-01,EST001,43856.0,22.0,1.0
2025-08-01,EST001,50479.0,24.0,0.0
