date,estate_id,rainfall_mm,rainy_days
2019-01-01,EST001,265.4,18.0
2019-02-01,EST001,238.5,17.0
2019-03-01,EST001,247.2,15.0
2019-04-01,EST001,247.1,17.0
2019-05-01,EST001,192.1,13.0
2019-06-01,EST001,181.1,13.0
2019-07-01,EST001,215.5,15.0
2019-08-01,EST001,199.6,17.0
2019-09-01,EST001,186.3,11.0
2019-10-01,EST001,208.35000000000002,15.0
2019-11-01,EST001,230.4,14.0
2019-12-01,EST001,248.0,16.0
2020-01-01,EST001,259.0,16.0
2020-02-01,EST001,194.2,15.0
2020-03-01,EST001,187.9,15.0
2020-04-01,EST001,194.9,12.0
2020-05-01,EST001,172.7,10.0
2020-06-01,EST001,194.9,14.0
2020-07-01,EST001,153.3,9.0
2020-08-01,EST001,145.1,11.0
2020-09-01,EST001,234.6,16.0
2020-10-01,EST001,214.4,12.0
2020-11-01,EST001,243.7,19.0
2020-12-01,EST001,224.0,18.0
2021-01-01,EST001,239.4,15.0
2021-02-01,EST001,244.8,16.0
2021-03-01,EST001,202.2,14.0
2021-04-01,EST001,192.6,15.0
2021-05-01,EST001,183.0,13.0
2021-06-01,EST001,179.7,15.0
2021-07-01,EST001,161.0,10.0
2021-08-01,EST001,226.7,14.0
2021-09-01,EST001,197.7,11.0
2021-10-01,EST001,193.6,12.0
2021-11-01,EST001,262.6,17.0
2021-12-01,EST001,229.1,18.0
2022-01-01,EST001,258.2,16.0
2022-02-01,EST001,193.0,13.0
2022-03-01,EST001,197.8,13.0
2022-04-01,EST001,195.63333333333335,16.0
2022-05-01,EST001,193.46666666666667,18.0
2022-06-01,EST001,191.3,12.0
2022-07-01,EST001,173.1,11.0
2022-08-01,EST001,172.9,13.0
2022-09-01,EST001,161.0,12.0
2022-10-01,EST001,202.0,16.0
2022-11-01,EST001,230.5,16.0
2022-12-01,EST001,286.0,19.0
2023-01-01,EST001,261.6,18.0
2023-02-01,EST001,197.9,15.0
2023-03-01,EST001,239.1,17.0
2023-04-01,EST001,199.4,14.0
2023-05-01,EST001,181.1,14.0
2023-06-01,EST001,202.3,15.0
2023-07-01,EST001,201.8,16.0
2023-08-01,EST001,203.7,15.0
