date,estate_id,tbs_production_ton,cpo_production_ton,kernel_production_ton
2019-01-01,EST001,8132.4,1600.4,487.9
2019-02-01,EST001,8492.3,1805.1,443.2
2019-03-01,EST001,8186.5,1597.9,413.1
2019-04-01,EST001,7936.4,1398.5,415.7
2019-05-01,EST001,8551.4,1856.5,513.1
2019-06-01,EST001,8701.2,1631.0,391.8
2019-07-01,EST001,9134.3,1818.8,405.5
2019-08-01,EST001,7770.7,1606.2,359.2
2019-09-01,EST001,8254.1,1675.5,414.0
2019-10-01,EST001,7933.2,1716.8,328.2
2019-11-01,EST001,7918.2,1640.5,396.8
2019-12-01,EST001,8680.5,1624.0,507.5
2020-01-01,EST001,8318.1,1913.2,422.2
2020-02-01,EST001,8454.1,1715.5,410.3
2020-03-01,EST001,9736.5,1925.8,456.7
2020-04-01,EST001,10093.7,2164.7,550.0
2020-05-01,EST001,8729.5,1778.6,400.4
2020-06-01,EST001,10255.2,2112.5,607.4
2020-07-01,EST001,8863.0,2038.5,528.8
2020-08-01,EST001,-500.0,1739.3,455.4
2020-09-01,EST001,10483.2,2046.7,523.6
2020-10-01,EST001,8337.2,1682.0,459.8
2020-11-01,EST001,9177.9,1983.1,509.1
2020-12-01,EST001,9028.6,1601.7,415.0
2021-01-01,EST001,8488.8,1447.5,402.1
2021-02-01,EST001,9870.8,1887.2,428.3
2021-03-01,EST001,9249.2,1623.2,481.4
2021-04-01,EST001,10205.9,1976.1,544.3
2021-05-01,EST001,10662.4,2212.8,461.2
2021-06-01,EST001,9147.5,1707.3,436.6
2021-07-01,EST001,8785.1,1569.0,380.1
2021-08-01,EST001,10264.4,2063.6,467.1
2021-09-01,EST001,10339.8,2201.7,545.5
2021-10-01,EST001,8735.4,1525.0,404.7
2021-11-01,EST001,8831.0,1874.9,428.3
2021-12-01,EST001,9112.9,1934.3,381.5
2022-01-01,EST001,8974.3,1923.3,457.1
2022-02-01,EST001,9079.7,1981.9,452.0
2022-03-01,EST001,9624.1,2213.5,446.1
2022-04-01,EST001,9191.4,1789.2,450.9
2022-05-01,EST001,11319.1,2282.4,576.2
2022-06-01,EST001,11203.2,2170.7,514.5
2022-07-01,EST001,9984.0,1997.1,425.5
2022-08-01,EST001,8728.4,1946.4,515.2
2022-09-01,EST001,8174.2,1469.9,382.8
2022-10-01,EST001,9770.4,1827.9,483.8
2022-11-01,EST001,9039.0,1994.5,497.6
2022-12-01,EST001,7383.2,1589.6,443.0
2023-01-01,EST001,7937.2,1544.2,347.5
2023-02-01,EST001,9883.5,2103.4,516.4
2023-03-01,EST001,10373.2,2127.7,482.0
2023-04-01,EST001,10081.6,2243.2,476.9
2023-05-01,EST001,10261.8,2063.8,476.1
2023-06-01,EST001,10223.3,2201.9,453.6
2023-07-01,EST001,10913.2,2510.0,543.4
2023-08-01,EST001,8419.3,1759.4,358.9
2023-09-01,EST001,9760.5,1959.3,534.2
2023-10-01,EST001,9371.7,1975.9,471.2
2023-11-01,EST001,8205.9,1596.2,427.6
2023-12-01,EST001,7950.4,1828.6,379.0
2024-01-01,EST001,9679.8,1962.1,466.2
2024-02-01,EST001,8817.3,1727.4,453.5
2024-03-01,EST001,9108.2,1707.5,402.4
2024-04-01,EST001,8795.3,1903.8,424.0
2024-05-01,EST001,10151.0,2162.2,463.9
2024-06-01,EST001,10991.6,2116.3,500.6
2024-07-01,EST001,10975.6,2290.0,439.0
2024-08-01,EST001,11030.5,1956.5,625.4
2024-09-01,EST001,8693.5,1762.8,404.8
2024-10-01,EST001,9614.9,1988.3,536.7
2024-11-01,EST001,9129.2,2059.6,505.2
2024-12-01,EST001,9199.8,1733.6,400.8
2025-01-01,EST001,8385.6,1516.3,373.6
2025-02-01,EST001,9219.1,1720.0,553.1
2025-03-01,EST001,8661.8,1558.7,508.9
2025-04-01,EST001,10508.3,2312.3,523.8
2025-05-01,EST001,10733.9,2396.1,550.5
2025-06-01,EST001,7719.9,1581.1,361.6
2025-07-01,EST001,9791.0,2137.6,510.7
2025-08-01,EST001,10124.1,2045.2,469.9
2025-09-01,EST001,10449.1,2074.9,418.0
2025-10-01,EST001,9599.1,1871.9,416.5
2025-11-01,EST001,8497.5,1659.9,425.8
2025-12-01,EST001,8566.4,1514.4,379.9
2019-01-01,EST002,7271.1,1483.0,361.1
2019-02-01,EST002,6722.9,1340.5,300.0
2019-03-01,EST002,7137.5,1507.3,329.0
2019-04-01,EST002,7812.8,1573.5,424.0
2019-05-01,EST002,7954.3,1571.4,407.6
2019-06-01,EST002,8132.6,1520.2,406.2
2019-07-01,EST002,7579.4,1524.1,412.3
2019-08-01,EST002,7768.0,1639.6,407.1
2019-09-01,EST002,18902.5,1382.5,432.7
2019-10-01,EST002,7081.0,1425.5,337.8
2019-11-01,EST002,6650.5,1353.3,318.2
2019-12-01,EST002,7529.4,1424.8,327.5
2020-01-01,EST002,7041.8,1346.3,337.0
2020-02-01,EST002,6854.2,1394.5,375.8
2020-03-01,EST002,8108.6,1483.9,458.1
2020-04-01,EST002,7881.3,1617.6,431.9
2020-05-01,EST002,7372.0,1375.4,302.5
2020-06-01,EST002,7012.3,1514.3,388.6
2020-07-01,EST002,7612.8,1750.9,310.7
2020-08-01,EST002,7197.6,1346.6,392.2
2020-09-01,EST002,7204.5,1498.6,347.0
2020-10-01,EST002,7423.4,1403.8,397.2
2020-11-01,EST002,6833.3,1473.4,296.1
2020-12-01,EST002,7722.7,1398.0,431.4
2021-01-01,EST002,6060.9,1255.9,258.6
2021-02-01,EST002,7192.0,1344.2,335.6
2021-03-01,EST002,7052.1,1388.5,317.4
2021-04-01,EST002,7816.9,1442.5,322.3
2021-05-01,EST002,7356.9,1562.1,371.3
2021-06-01,EST002,7517.1,1409.0,443.7
2021-07-01,EST002,7121.2,1483.2,427.3
2021-08-01,EST002,8055.4,1569.5,406.7
2021-09-01,EST002,7664.3,1519.7,426.0
2021-10-01,EST002,7400.1,1496.4,378.6
2021-11-01,EST002,7040.3,1327.6,369.6
2021-12-01,EST002,6176.1,1254.7,298.2
2022-01-01,EST002,8808.7,1963.9,449.0
2022-02-01,EST002,8493.7,1599.6,447.5
2022-03-01,EST002,8765.0,1907.1,412.9
2022-04-01,EST002,8645.9,1923.5,428.9
2022-05-01,EST002,9214.3,1730.1,458.0
2022-06-01,EST002,10044.7,1789.7,543.7
2022-07-01,EST002,8845.3,1809.1,395.1
2022-08-01,EST002,8168.6,1566.6,406.3
2022-09-01,EST002,8119.4,1851.5,483.6
2022-10-01,EST002,8184.2,1641.1,456.8
2022-11-01,EST002,7901.6,1485.2,448.4
2022-12-01,EST002,7910.1,1445.9,396.5
2023-01-01,EST002,8181.5,1770.1,422.2
2023-02-01,EST002,8414.9,1610.9,462.9
2023-03-01,EST002,9054.2,1816.8,523.3
2023-04-01,EST002,8898.3,1907.2,358.1
2023-05-01,EST002,8353.9,1610.1,362.7
2023-06-01,EST002,8073.8,1609.2,456.6
2023-07-01,EST002,10551.6,2107.7,513.0
2023-08-01,EST002,8872.7,1865.5,413.8
2023-09-01,EST002,9119.0,1904.6,398.8
2023-10-01,EST002,9042.1,1778.6,427.0
2023-11-01,EST002,7972.0,1602.0,342.7
2023-12-01,EST002,7050.3,1370.7,423.0
2024-01-01,EST002,8040.9,1430.0,401.1
2024-02-01,EST002,7913.5,1613.3,393.4
2024-03-01,EST002,8630.4,1971.0,456.9
2024-04-01,EST002,8490.3,1585.5,465.4
2024-05-01,EST002,8891.3,1675.2,486.6
2024-06-01,EST002,8951.9,1673.5,495.6
2024-07-01,EST002,10176.9,2146.0,476.7
2024-08-01,EST002,9239.2,1910.0,448.2
2024-09-01,EST002,8326.9,1645.6,448.4
2024-10-01,EST002,8483.4,1579.9,401.8
2024-11-01,EST002,8364.2,1684.4,418.0
2024-12-01,EST002,8193.0,1446.3,426.0
2025-01-01,EST002,8203.5,1658.3,442.4
2025-02-01,EST002,8135.0,1733.3,334.4
2025-03-01,EST002,9223.9,1671.7,494.2
2025-04-01,EST002,9101.6,1611.1,444.4
2025-05-01,EST002,8088.5,1809.3,433.0
2025-06-01,EST002,-500.0,1905.8,538.2
2025-07-01,EST002,9993.7,2169.0,580.0
2025-08-01,EST002,7658.6,1514.0,434.8
2025-09-01,EST002,8984.6,1775.1,509.7
2025-10-01,EST002,7226.5,1492.8,413.5
2025-11-01,EST002,7602.1,1419.6,391.2
2025-12-01,EST002,7350.8,1484.8,368.7
2019-01-01,EST003,10820.1,2102.1,588.2
2019-02-01,EST003,11559.0,2082.8,620.3
2019-03-01,EST003,10752.1,2204.8,521.0
2019-04-01,EST003,11513.8,2257.3,599.0
2019-05-01,EST003,11242.2,2222.0,560.1
2019-06-01,EST003,11787.9,2143.6,539.1
2019-07-01,EST003,12707.8,2844.9,717.4
2019-08-01,EST003,13080.4,2788.1,657.6
2019-09-01,EST003,11342.2,2432.5,680.5
2019-10-01,EST003,10337.4,2020.1,432.9
2019-11-01,EST003,9383.2,1633.3,443.0
2019-12-01,EST003,9250.0,2121.0,464.0
2020-01-01,EST003,10654.3,2121.1,593.3
2020-02-01,EST003,11526.1,2175.8,599.3
2020-03-01,EST003,11471.2,2366.0,591.4
2020-04-01,EST003,10245.5,2228.5,454.5
2020-05-01,EST003,9564.9,1909.7,422.9
2020-06-01,EST003,12616.4,2765.2,651.2
2020-07-01,EST003,12996.0,2810.3,561.2
2020-08-01,EST003,10680.6,1963.7,505.6
2020-09-01,EST003,10171.7,1931.5,534.1
2020-10-01,EST003,12375.0,2652.7,558.0
2020-11-01,EST003,10378.4,1764.3,602.2
2020-12-01,EST003,9942.9,1966.3,558.0
2021-01-01,EST003,9566.2,1707.9,403.1
2021-02-01,EST003,10154.2,1958.3,460.4
2021-03-01,EST003,10434.0,2040.0,417.4
2021-04-01,EST003,,2266.5,536.7
2021-05-01,EST003,9077.4,1740.3,488.7
2021-06-01,EST003,12666.8,2324.9,607.1
2021-07-01,EST003,10513.8,2418.2,549.9
2021-08-01,EST003,9997.6,2279.6,423.8
2021-09-01,EST003,10525.9,1921.7,568.3
2021-10-01,EST003,10143.4,2269.4,479.0
2021-11-01,EST003,9600.0,1862.5,480.6
2021-12-01,EST003,9612.9,1941.2,476.2
2022-01-01,EST003,9901.0,1970.8,432.1
2022-02-01,EST003,11939.6,2269.8,528.1
2022-03-01,EST003,10489.0,2252.6,575.2
2022-04-01,EST003,11589.0,2339.7,602.6
2022-05-01,EST003,11192.5,2158.5,618.4
2022-06-01,EST003,11715.4,2113.8,604.8
2022-07-01,EST003,13211.4,2465.2,670.0
2022-08-01,EST003,12407.7,2176.1,513.3
2022-09-01,EST003,13326.3,2667.7,648.3
2022-10-01,EST003,10379.9,1889.7,517.6
2022-11-01,EST003,10289.9,2017.0,615.0
2022-12-01,EST003,10045.0,2215.4,536.8
2023-01-01,EST003,10515.2,2292.2,606.5
2023-02-01,EST003,9513.1,1898.0,504.1
2023-03-01,EST003,11102.5,2206.0,515.6
2023-04-01,EST003,12482.2,2848.4,631.4
2023-05-01,EST003,12023.8,2498.7,615.4
2023-06-01,EST003,10496.0,2047.6,475.5
